Hostel,Latitude,Longitude
Adombi,6.672359966103428,-1.5608471216898865
Adowa Ekyaa Hostel,6.684364343150154,-1.580400186076991
Afirim Hostel,6.673839809058668,-1.5634012775129127
Agape Chara,6.66972381148039,-1.5629222640191178
Anglican Hostel,6.685542377173402,-1.5529858214388708
Anarosa,6.668563974628818,-1.5635943910068208
Baby Brunei,6.6702167176535205,-1.5749453216898517
Royal Bannant,6.670131354457148,-1.5625857970261472
Brunei Complex,6.669665606021086,-1.5744386010047893
New Brunei,6.670671942292325,-1.573203777512958
By His Grace,6.677225714596122,-1.5629269640190422
Canam Hostel,6.669980773980402,-1.563517735183731
Caesars Palace,6.671456152829456,-1.5522385554085492
Celia Royale Hostel,6.660549141389028,-1.5634379291179112
Chancellor (Hall 7),6.679610489499797,-1.5735948063482506
Crystal Rose Hostel,6.687107548234019,-1.556706401414902
Devalypa Hostel,6.668353587244557,-1.5636232640191416
Dorchester Hostel,6.677162790355056,-1.5568918928544195
Dr Sarfo Hostel,6.6788397259542585,-1.5610661505251735
Ebenezer Hostel,6.670633692004645,-1.562606648677604
Evandy Annex,6.678126770249595,-1.5630274947021523
Evandy Hostel,6.6735304723552,-1.5546239351836733
Flint Exclusiv Annex,6.662017680007899,-1.5657806486776829
Flint Hostel,6.66668583254954,-1.5634065640191932
Frontline Inn,6.672224779731651,-1.5622855351837495
Franco,6.670058286390214,-1.56119045237302
Gaza Hostel,6.688487865497706,-1.5561962640189058
Georgia Hostel,6.687467277653201,-1.5566774351835615
Glory Be To God Annex,6.676611839184265,-1.5560002063482705
Glory Hostel,6.659943247899133,-1.5467665928546621
Gusss Hostel,6.670196149005911,-1.5736124947022216
Jalex Hostel,6.670944473539247,-1.5626680640191355
Jecado,6.669058974402259,-1.5636712351837911
Liendaville Hostel,6.675446239794396,-1.5536505100436764
Lion Of Judah Hostel,6.673129479455169,-1.56104399285444
Long Island,6.66945614292814,-1.5619291370314434
Mass,6.669152430601798,-1.562918135183742
Melinda Hostel,6.670033598849932,-1.560569864019114
Nana Adomah Hostel,6.672924384953387,-1.56315539100679
No Weapon,6.667529587657429,-1.556519492854552
Pentagon Hostel,6.674037684395091,-1.5627112640190723
Platinumville,6.671662073210732,-1.558080035183749
Princeville Hostel,6.668261662244625,-1.5576043640191817
Rising Sun,6.670639923364323,-1.5631540640191488
Royal Gate Hostel,6.683572999969133,-1.5773887032126706
"Showers Hostel, Bomso",6.684435955538569,-1.5767901529327308
Shalom,6.671611292293625,-1.5626726542206908
Splendor Hostel,6.67752706148377,-1.557545864019065
SRC Hostel,6.681185685147133,-1.5716774351835605
St Peters,6.670131917690481,-1.5594340640191309
Suncity,6.688562449121462,-1.5547799640188973
Ultimate Hostel,6.684658481822585,-1.5804057860761327
Victory Towers,6.6756811055103595,-1.5624244640191036
Wagyingo Hostel,6.67387350559082,-1.5587787928544703
West End Hostel,6.677799105416054,-1.5633333063482604
Whitpam A Hostel,6.669008893326046,-1.5621979756653033
White House,6.6730160740910565,-1.5627376640190902
Zoro 1,6.693375126174477,-1.5586919812080817
